country,code,region_code,region,admin_region_code,admin_region,income_level_code,income_level,lending_type_code,lending_type
Bosnia and Herzegovina,BIH,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Belarus,BLR,ECS,Europe & Central Asia,ECA,Europe & Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD
Belize,BLZ,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Bermuda,BMU,NAC,North America,,,HIC,High income,LNX,Not classified
Bolivia,BOL,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),LMC,Lower middle income,IBD,IBRD
Brazil,BRA,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Barbados,BRB,LCN,Latin America & Caribbean,,,HIC,High income,LNX,Not classified
Brunei Darussalam,BRN,EAS,East Asia & Pacific,,,HIC,High income,LNX,Not classified
Bhutan,BTN,SAS,South Asia,SAS,South Asia,LMC,Lower middle income,IDX,IDA
Botswana,BWA,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD
Central African Republic,CAF,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Canada,CAN,NAC,North America,,,HIC,High income,LNX,Not classified
Switzerland,CHE,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Channel Islands,CHI,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Chile,CHL,LCN,Latin America & Caribbean,,,HIC,High income,IBD,IBRD
China,CHN,EAS,East Asia & Pacific,EAP,East Asia & Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD
Cote d'Ivoire,CIV,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDX,IDA
Cameroon,CMR,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDB,Blend
"Congo, Dem. Rep.",COD,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
"Congo, Rep.",COG,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDB,Blend
Colombia,COL,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Comoros,COM,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDX,IDA
Cabo Verde,CPV,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LMC,Lower middle income,IDB,Blend
Costa Rica,CRI,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Cuba,CUB,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,LNX,Not classified
Curacao,CUW,LCN,Latin America & Caribbean,,,HIC,High income,LNX,Not classified
Cayman Islands,CYM,LCN,Latin America & Caribbean,,,HIC,High income,LNX,Not classified
Cyprus,CYP,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Czech Republic,CZE,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Germany,DEU,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Djibouti,DJI,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),LMC,Lower middle income,IDX,IDA
Dominica,DMA,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IDB,Blend
Denmark,DNK,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Dominican Republic,DOM,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
Algeria,DZA,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD
Ecuador,ECU,LCN,Latin America & Caribbean,LAC,Latin America & Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD
"Egypt, Arab Rep.",EGY,MEA,Middle East & North Africa,MNA,Middle East & North Africa (excluding high income),LMC,Lower middle income,IBD,IBRD
Eritrea,ERI,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Spain,ESP,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Estonia,EST,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
Ethiopia,ETH,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),LIC,Low income,IDX,IDA
Finland,FIN,ECS,Europe & Central Asia,,,HIC,High income,LNX,Not classified
